공고명,회사명,URL
NLP AI 엔지니어,에이블제이,https://www.wanted.co.kr/wd/270338
AI 사업계획서/제안서 작성 담당자,팜킷,https://www.wanted.co.kr/wd/263703
AI솔루션 영업직,임팩티브에이아이,https://www.wanted.co.kr/wd/268265
AI Model Solution Engineer (2년 이상),비에이치에스엔,https://www.wanted.co.kr/wd/269317
[ATI]AI Engineer - LLM Application,앤서스랩코리아,https://www.wanted.co.kr/wd/269533
[광고사업부] AI Engineer (3년이상),매드업,https://www.wanted.co.kr/wd/270293
AI 피부분석 스타트업 PM (프로덕트매니저),룰루랩(lululab),https://www.wanted.co.kr/wd/269320
Medical AI 의료기기 국내 영업,웨이센(waycenInc.),https://www.wanted.co.kr/wd/268007
AI피부분석 스타트업 사업개발,룰루랩(lululab),https://www.wanted.co.kr/wd/270123
AI 솔루션 영업 담당자,라이언로켓,https://www.wanted.co.kr/wd/269980
AI/스마트팩토리 솔루션 기술영업,아하랩스,https://www.wanted.co.kr/wd/229901
Sr. Product Planning Manager (VD),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/265517
디지털 콘텐츠 AE (3년 이상),마더브레인(Motherbrain),https://www.wanted.co.kr/wd/268660
AI분야 사업개발 매니저,한국딥러닝,https://www.wanted.co.kr/wd/262660
AI-Powered 어플리케이션 설계 도구 개발 리더,리얼라이즈소프트,https://www.wanted.co.kr/wd/264205
AI 기반 사주앱 콘텐츠 기획 및 마케팅 운영,화승엔지니어링,https://www.wanted.co.kr/wd/269200
AX(AI Transformation) 전략 컨설팅 담당자(대리~부장급),인터엑스,https://www.wanted.co.kr/wd/268077
Global Growth Strategy (해외 BD),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/261182
[COE부문] AI Modeling Engineer,한화생명보험,https://www.wanted.co.kr/wd/211566
APLUS AI_B2B SaaS Sales Manager (아웃바운드),버즈니(Buzzni),https://www.wanted.co.kr/wd/265019
AI 소프트웨어 엔지니어(3년~),인포그랩,https://www.wanted.co.kr/wd/268747
AI 기반 콘텐츠 플랫폼 PO (Product Owner),머스트핀테크,https://www.wanted.co.kr/wd/263522
APLUS AI_편집 디자이너(계약직),버즈니(Buzzni),https://www.wanted.co.kr/wd/265021
[의료R&D본부] 뇌영상연구팀 AI연구원,딥노이드(Deepnoid),https://www.wanted.co.kr/wd/268823
[Enterprise Solutions] Project Manager,베슬에이아이(VESSL AI),https://www.wanted.co.kr/wd/267139
AI 기반 글로벌 마케팅 총괄 매니저,머스트핀테크,https://www.wanted.co.kr/wd/265165
비전 AI 솔루션 아키텍트,한국딥러닝,https://www.wanted.co.kr/wd/262613
AI 엔지니어(AI engineer),인딥에이아이,https://www.wanted.co.kr/wd/269733
AI 엔지니어,한국딥러닝,https://www.wanted.co.kr/wd/262611
[ATI]AI Software Engineer,앤서스랩코리아,https://www.wanted.co.kr/wd/269537
VisionAI 엔진 개발,포지큐브(POSICUBE),https://www.wanted.co.kr/wd/267616
[뷰티테크]AI 노화분석 모델 개발,앙트러리얼리티,https://www.wanted.co.kr/wd/265144
AI 엔지니어,덴컴,https://www.wanted.co.kr/wd/265863
AI-Powered 어플리케이션 설계 도구 영업 리더,리얼라이즈소프트,https://www.wanted.co.kr/wd/264232
[AI B2B SaaS] 백엔드 개발자 (2년 이상),코발틱스,https://www.wanted.co.kr/wd/267746
R&D / AI Researcher,반프,https://www.wanted.co.kr/wd/254881
AI 리서치 엔지니어(AI Research Engineer),메이사,https://www.wanted.co.kr/wd/270082
ML engineer/ AI researcher (Senior),알세미,https://www.wanted.co.kr/wd/269668
AI 엔지니어,인휴먼즈,https://www.wanted.co.kr/wd/270199
프로덕트 전략 매니저,마키나락스,https://www.wanted.co.kr/wd/268408
AI 소프트웨어 개발자,디딤365,https://www.wanted.co.kr/wd/268193
AI Glass 글로벌 사업 총괄 리드,시어스랩(Seerslab),https://www.wanted.co.kr/wd/269244
AI 솔루션 기술영업,아일리스프런티어(ailysfrontier),https://www.wanted.co.kr/wd/265527
APLUS AI_B2B SaaS Sales Manager (인바운드),버즈니(Buzzni),https://www.wanted.co.kr/wd/265013
AI 엔지니어 (5년 이상),버티컬바,https://www.wanted.co.kr/wd/255370
생성형 AI 개발자,시어스랩(Seerslab),https://www.wanted.co.kr/wd/268129
Account Executive (KR),베슬에이아이(VESSL AI),https://www.wanted.co.kr/wd/61920
AI-Software Engineer,크라우드웍스,https://www.wanted.co.kr/wd/247310
AI Engineer,샵라이브,https://www.wanted.co.kr/wd/216503
AI Engineer,앙트러리얼리티,https://www.wanted.co.kr/wd/268775
AI Engineer (Field Engineer),에이엠스퀘어,https://www.wanted.co.kr/wd/268183
시니어 AI엔지니어,딥아이,https://www.wanted.co.kr/wd/268818
AI Researcher,인핸스(Enhans),https://www.wanted.co.kr/wd/268847
"AI 모델 개발자 (신입, 병역특례, 병역전문연구요원)",에이아이비즈,https://www.wanted.co.kr/wd/269089
AI Engineer(엔지니어),아이지넷(보닥),https://www.wanted.co.kr/wd/269298
AI 엔지니어(이미지 생성 AI 서비스),바이스벌사,https://www.wanted.co.kr/wd/270209
[커머스 AI 스쿼드] AI  백엔드 엔지니어,버즈니(Buzzni),https://www.wanted.co.kr/wd/192033
ML engineer/ AI researcher (Junior),알세미,https://www.wanted.co.kr/wd/269669
[Align] AI 리서치 엔지니어,콕스웨이브,https://www.wanted.co.kr/wd/258539
AI 개발자(3년 이상),네비웍스,https://www.wanted.co.kr/wd/209473
[기후테크기업] B2B SaaS AI기반 에너지절감 서비스 마케터,이에이엔테크놀로지,https://www.wanted.co.kr/wd/261110
AI-Powered 어플리케이션 설계 도구 개발자,리얼라이즈소프트,https://www.wanted.co.kr/wd/264218
AI 기술영업,테스트웍스,https://www.wanted.co.kr/wd/214466
AI Engineer (LLM),워프스페이스,https://www.wanted.co.kr/wd/230817
(LLM/자연어) AI 엔지니어 (5년 이상),바비톡,https://www.wanted.co.kr/wd/270161
Finance Manager (자금 담당자),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/245737
AI Backend Engineer,인핸스(Enhans),https://www.wanted.co.kr/wd/268610
Communications Manager,에니아이(Aniai),https://www.wanted.co.kr/wd/257090
AI 전략 리더 (Head of AI Strategy),휴머스온,https://www.wanted.co.kr/wd/268525
[AI연구팀] Computer Vision AI 엔지니어,텔레픽스,https://www.wanted.co.kr/wd/261037
"AI Researcher (OCR, 비전-언어모델)",인터엑스,https://www.wanted.co.kr/wd/270083
AI플랫폼 영업 담당자,마키나락스,https://www.wanted.co.kr/wd/218907
스마트팩토리 AI 솔루션 셋업 엔지니어링 및 개발 (신입),아하랩스,https://www.wanted.co.kr/wd/188124
[AI B2B SaaS] 서비스 기획자 (3년 이상),코발틱스,https://www.wanted.co.kr/wd/267522
AI Application Engineer,업스테이지,https://www.wanted.co.kr/wd/267072
Back-end Engineering (FC Automation),쿠팡,https://www.wanted.co.kr/wd/270033
Finance Manager (회계 담당자),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/261279
AI Engineer (5~10년차),리얼드로우,https://www.wanted.co.kr/wd/256104
AI Engineer,아하랩스,https://www.wanted.co.kr/wd/229283
Marketing Manager,에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/264749
[AX] AI/ML 엔지니어,콕스웨이브,https://www.wanted.co.kr/wd/234298
[이미지/비디오 생성형 AI] Research Engineer (전문연구요원),이너버즈,https://www.wanted.co.kr/wd/263463
AI Researcher & Engineer (2년 이상),나니아랩스,https://www.wanted.co.kr/wd/259098
AI Engineer,파워테스크,https://www.wanted.co.kr/wd/267405
Vision AI 및 Graphics 기술 연구 총괄,시어스랩(Seerslab),https://www.wanted.co.kr/wd/268102
AI 연구/개발 담당자,씨어스테크놀로지,https://www.wanted.co.kr/wd/261537
AI 로보틱스 어플리케이션 소프트웨어 개발자,씨메스(CMES),https://www.wanted.co.kr/wd/253428
[AI연구팀]NLP 딥러닝 엔지니어,텔레픽스,https://www.wanted.co.kr/wd/226146
Senior AI Research Engineer,타이드풀(TIDEPOOL),https://www.wanted.co.kr/wd/183049
AI 개발자(LLM Engineer),다이렉트클라우드랩,https://www.wanted.co.kr/wd/269642
AI 엔지니어 (전문연구요원 신규/편입 가능),워트인텔리전스,https://www.wanted.co.kr/wd/231152
AI 기반 콘텐츠 플랫폼 TPO (Product Owner),머스트핀테크,https://www.wanted.co.kr/wd/269260
AI Product Owner,업스테이지,https://www.wanted.co.kr/wd/267074
"[CHAI CRE.W] 소셜 미디어 기획자 (팀원급, 1년~3년)",차이커뮤니케이션,https://www.wanted.co.kr/wd/267100
AI Enterprise Planning,업스테이지,https://www.wanted.co.kr/wd/267073
온라인 광고 영업 담당자,인라이플,https://www.wanted.co.kr/wd/270389
AI Research Engineer (Document AI),업스테이지,https://www.wanted.co.kr/wd/262161
AI 개발자,일만백만,https://www.wanted.co.kr/wd/230871
AIDT 콘텐츠 엔지니어,엘리스,https://www.wanted.co.kr/wd/250480
AI Researcher,아하랩스,https://www.wanted.co.kr/wd/239073
[AI 헬스케어] 바이오 R&D 책임 연구원,바이오컴,https://www.wanted.co.kr/wd/268543
Account Executive (Sales),슈퍼브에이아이(Superb AI),https://www.wanted.co.kr/wd/261815
빅데이터/AI 법률 플랫폼 서비스 운영 PM,채권도시,https://www.wanted.co.kr/wd/246517
시니어 AI엔지니어,딥아이,https://www.wanted.co.kr/wd/268817
AI/ML Engineer (전문연구요원 가능),플립션코리아,https://www.wanted.co.kr/wd/259852
[CHAI CRE.W] 소셜 미디어 기획자 (4년 이상),차이커뮤니케이션,https://www.wanted.co.kr/wd/267806
AI 기반 글로벌 마케팅 매니저,머스트핀테크,https://www.wanted.co.kr/wd/269254
AI어플리케이션 개발,필라넷,https://www.wanted.co.kr/wd/267483
[뷰티테크]AI 피부분석 모델 개발자,앙트러리얼리티,https://www.wanted.co.kr/wd/265143
AI 프로젝트 기술PM,심플랫폼,https://www.wanted.co.kr/wd/263627
[Monetai] PO (Product Owner),하얀마인드,https://www.wanted.co.kr/wd/268301
[보안AI사업본부] 프론트엔드 개발자,딥노이드(Deepnoid),https://www.wanted.co.kr/wd/268394
AI-Powered 어플리케이션 설계 도구 시니어 개발자,리얼라이즈소프트,https://www.wanted.co.kr/wd/264276
AI Edge Device SW Engineer,한화비전,https://www.wanted.co.kr/wd/269640
AI 사업계획서/제안서 작성 담당자,한국딥러닝,https://www.wanted.co.kr/wd/258833
시각/편집 디자이너,코드크레인(CodeCrain),https://www.wanted.co.kr/wd/266176
react naitve 개발자 4~7년,타운즈,https://www.wanted.co.kr/wd/267135
[AI플랫폼팀] Full-stack 개발자(Senior),크라우드웍스,https://www.wanted.co.kr/wd/255984
AI Enterprise Manager,업스테이지,https://www.wanted.co.kr/wd/148462
[ESTsoft] AI 검색엔진 Product Owner,이스트소프트(ESTsoft),https://www.wanted.co.kr/wd/263436
서비스 기획 PM,인라이플,https://www.wanted.co.kr/wd/258837
AIDT 운영 매니저,엘리스,https://www.wanted.co.kr/wd/266765
시니어 AI 엔지니어,웨이커,https://www.wanted.co.kr/wd/267362
Android Application Engineer (AI Navigation),포티투닷(42dot),https://www.wanted.co.kr/wd/264236
[CHAI CRE.W] 오프라인 프로모션 담당자 (4년~6년),차이커뮤니케이션,https://www.wanted.co.kr/wd/267808
Head of Sales,베슬에이아이(VESSL AI),https://www.wanted.co.kr/wd/178793
"[AI R&D] Software Engineer (Frontend, Backend)",세이프에이아이,https://www.wanted.co.kr/wd/270095
(전문연가능)Clinical research scientist-Fundus AI,뷰노,https://www.wanted.co.kr/wd/260425
AI Edge 하드웨어 기반 소프트웨어 엔지니어,비씨엠테크,https://www.wanted.co.kr/wd/258850
AI 시스템 하드웨어 엔지니어,모본,https://www.wanted.co.kr/wd/238965
AI 제품(툴) 마케팅 기획,피엑스디(pxd),https://www.wanted.co.kr/wd/263252
Test Engineer,에니아이(Aniai),https://www.wanted.co.kr/wd/191681
Middleware System Backend Developer(Senior/PM),에이아이에이생명(AIA생명),https://www.wanted.co.kr/wd/256217
Back-end (AI Data Platform),씨드로닉스,https://www.wanted.co.kr/wd/258942
AI 기반 콘텐츠 플랫폼 BPM (Business Product Manager),머스트핀테크,https://www.wanted.co.kr/wd/269263
[ATI]이미지 생성 AI 전문가,앤서스랩코리아,https://www.wanted.co.kr/wd/269538
AI Agent 개발자,르몽,https://www.wanted.co.kr/wd/257472
Medical Imaging AI Research Engineer,휴톰,https://www.wanted.co.kr/wd/253557
제품 설치 Project Manager,에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/269003
[AI연구소] AI연구원 - Computer Vision AI,딥노이드(Deepnoid),https://www.wanted.co.kr/wd/236095
AI ML 엔지니어,비상교육,https://www.wanted.co.kr/wd/257689
AI/스마트팩토리 프로젝트 매니저(PM),아하랩스,https://www.wanted.co.kr/wd/257755
AI/ML 엔지니어(2년~5년),데이터노우즈,https://www.wanted.co.kr/wd/253322
[그루비 SaaS 솔루션] AI 엔지니어 (NLP),플래티어,https://www.wanted.co.kr/wd/261357
[AI] 그로스 마케터,카티어스,https://www.wanted.co.kr/wd/253321
[프로그래머스] AI 개발자(감독솔루션팀),그렙(프로그래머스),https://www.wanted.co.kr/wd/268620
"AI 엔지니어 (89년 이후 출생, TIPS)",베베리아,https://www.wanted.co.kr/wd/259951
"인공지능, 알고리즘 엔지니어",럭스로보(LUXROBO),https://www.wanted.co.kr/wd/233519
Data&AI 분야 클라우드 기술영업 담당자(5년이하),메이븐클라우드서비스,https://www.wanted.co.kr/wd/260593
마케터,하이(Haii),https://www.wanted.co.kr/wd/265995
AI/ML 엔지니어,와탭랩스(WhaTapLabs),https://www.wanted.co.kr/wd/244545
[AI플랫폼팀] Full-stack 개발자(Junior),크라우드웍스,https://www.wanted.co.kr/wd/255983
"AI Researcher (언어모델, 비전-언어모델, RAG, AI Agent)",인터엑스,https://www.wanted.co.kr/wd/261477
Sr. Researcher (LLM),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/264931
AI Engineer - 전문연구요원 가능,이마고웍스,https://www.wanted.co.kr/wd/245712
AI 데이터 사이언티스트,레디포스트,https://www.wanted.co.kr/wd/262130
"Digital Twin, AI 사업 프로젝트 PM",시어스랩(Seerslab),https://www.wanted.co.kr/wd/267559
[DATA&AI] Data Engineer(Platform),베이글코드(Bagelcode),https://www.wanted.co.kr/wd/259709
AI 풀스택 엔지니어,트리플렛,https://www.wanted.co.kr/wd/135822
[서비스개발본부] AI Engineer,차봇모빌리티,https://www.wanted.co.kr/wd/263139
[병역특례] AI 관련 원천기술 연구 및 소프트웨어 개발자 (전문연구요원),심플랫폼,https://www.wanted.co.kr/wd/265184
딥러닝/머신러닝(AI) 개발자,스카이랩스(SkyLabs),https://www.wanted.co.kr/wd/157560
AI Consultant,크라우드웍스,https://www.wanted.co.kr/wd/234991
[AI] Project Manager (PM/PL),메사쿠어컴퍼니,https://www.wanted.co.kr/wd/270437
Backend Engineer (Senior),베슬에이아이(VESSL AI),https://www.wanted.co.kr/wd/207873
Gen AI 백엔드 개발자 (4년차 이상),아스타,https://www.wanted.co.kr/wd/253137
[광고사업부] AI 크리에이티브 디자이너,매드업,https://www.wanted.co.kr/wd/222569
AI Engineer (전문연 지원 가능),마인즈앤컴퍼니,https://www.wanted.co.kr/wd/215978
백엔드 개발자 (Ruby on Rails),스테이폴리오,https://www.wanted.co.kr/wd/261147
"딥러닝/머신러닝(AI) 개발자 [신입, 전문연구요원(보충역/전직) 가능",스카이랩스(SkyLabs),https://www.wanted.co.kr/wd/188191
UIUX 디자이너/기획,아인잡(AINJOB),https://www.wanted.co.kr/wd/252542
AI 비즈니스 전략기획 매니저,한국딥러닝,https://www.wanted.co.kr/wd/261624
Machine Learning Software Engineer (MG AI),하이퍼커넥트,https://www.wanted.co.kr/wd/262494
MLOps Engineer (2년 이상),뤼이드(Riiid),https://www.wanted.co.kr/wd/251415
C# 개발자,인라이플,https://www.wanted.co.kr/wd/268684
AI 국제 물류 스타트업 백엔드 개발자,아로아랩스,https://www.wanted.co.kr/wd/263263
Senior AI Engineer,누비랩,https://www.wanted.co.kr/wd/241300
Product Solution Architect,업스테이지,https://www.wanted.co.kr/wd/267077
AI 엔지니어(AI engineer),인딥에이아이,https://www.wanted.co.kr/wd/261274
AI 기반 백엔드 개발,블록체인랩스,https://www.wanted.co.kr/wd/255004
AI Research Engineer (LLM Application),시나몬,https://www.wanted.co.kr/wd/261846
[CHAI CRE.W] 아트디렉터 (5년~11년),차이커뮤니케이션,https://www.wanted.co.kr/wd/269004
AI 학습데이터 설계/구축 PM,스피링크,https://www.wanted.co.kr/wd/264673
[서울근무] AI/Big Data 서비스 해외(국내) PR 담당자,뉴엔에이아이,https://www.wanted.co.kr/wd/258769
[AI 헬스케어] 바이오 R&D 연구원,바이오컴,https://www.wanted.co.kr/wd/268545
Computer Vision SW Engineer(AI),포비콘,https://www.wanted.co.kr/wd/268838
[AI반도체] Camera Sensor Engineer,모빌린트,https://www.wanted.co.kr/wd/266387
ML/AI 엔지니어,세미에이아이,https://www.wanted.co.kr/wd/270315
[ESTsoft] AI Growth Product Manager (경력),이스트소프트(ESTsoft),https://www.wanted.co.kr/wd/266281
AI 최적화 Researcher,에너자이(ENERZAi),https://www.wanted.co.kr/wd/219652
AI Model Optimization Engineer (CPU/GPU/NPU),인터엑스,https://www.wanted.co.kr/wd/252960
FC General Affairs Manager,버킷플레이스(오늘의집),https://www.wanted.co.kr/wd/253222
AI Glass 상품 기획 총괄 리더,시어스랩(Seerslab),https://www.wanted.co.kr/wd/269246
AI 기반 콘텐츠 플랫폼 BPO (Product Owner),머스트핀테크,https://www.wanted.co.kr/wd/269262
AI 기반 콘텐츠 플랫폼 TPM (Product Manager),머스트핀테크,https://www.wanted.co.kr/wd/269261
AI 개발자,르호사,https://www.wanted.co.kr/wd/243804
[웹앱개발] 이미지 생성형 AI 서비스 플랫폼 개발자,세아아이씨티,https://www.wanted.co.kr/wd/270283
스마트팩토리 AI 솔루션 셋업 엔지니어링 및 개발,아하랩스,https://www.wanted.co.kr/wd/104029
[개발운영] 주니어 AI 개발자 (병역특례 전문연구요원),누리미디어(DBpia),https://www.wanted.co.kr/wd/257808
[AI반도체] Product Test Engineer,모빌린트,https://www.wanted.co.kr/wd/263453
Senior Backend Engineer (AI Platform),포티투닷(42dot),https://www.wanted.co.kr/wd/193794
AI 솔루션 아키텍트 (AI Solution Architect),휴머스온,https://www.wanted.co.kr/wd/268529
"[CHAI CRE.W] 소셜 미디어 기획자 (팀장급, 10년~12년)",차이커뮤니케이션,https://www.wanted.co.kr/wd/267103
AI Consultant (1년 이상),셀렉트스타,https://www.wanted.co.kr/wd/224154
[COE부문] AI Backend Engineer,한화생명보험,https://www.wanted.co.kr/wd/211562
Runtime 소프트웨어 엔지니어 (전문연구요원 가능),에너자이(ENERZAi),https://www.wanted.co.kr/wd/185538
Sotware Engineer -AI/ML,블루개러지(Blue Garage),https://www.wanted.co.kr/wd/260755
AI Engineer(3년 이상),포디(FODI),https://www.wanted.co.kr/wd/261551
Innovation Engineer,제이와이피엔터테인먼트(JYP),https://www.wanted.co.kr/wd/270114
AI 도입 매니저 (AI Implementation Manager),휴머스온,https://www.wanted.co.kr/wd/268526
B2G Sales (5년~),빅밸류,https://www.wanted.co.kr/wd/256188
AI/DX 교육운영 담당자,언더독스,https://www.wanted.co.kr/wd/267904
AI Consultant,슈퍼브에이아이(Superb AI),https://www.wanted.co.kr/wd/261836
풀스텍 개발자 (5년차 이상),파이프트리스마트팜(PAIPTREESmartFarmInc.),https://www.wanted.co.kr/wd/249020
AI Research Engineer(Human motion generation),시나몬,https://www.wanted.co.kr/wd/136783
마케터,코드크레인(CodeCrain),https://www.wanted.co.kr/wd/266174
산업용 컴퓨터/AI 하드웨어 영업 담당자,비씨엠테크,https://www.wanted.co.kr/wd/204826
Retail Operations Manager,논픽션,https://www.wanted.co.kr/wd/266154
"CTO (Gen AI, 머신 러닝)",링크12,https://www.wanted.co.kr/wd/263133
풀스택 개발자,엘오엘,https://www.wanted.co.kr/wd/263474
[CHAI CRE.W] 브랜드 콘텐츠 기획자 (4년 이상),차이커뮤니케이션,https://www.wanted.co.kr/wd/267104
인공지능(AI) 기업교육 기획 및 운영 담당자,알고리즘랩스,https://www.wanted.co.kr/wd/270375
AI-DATA 플랫폼 기술전략담당,오케스트로,https://www.wanted.co.kr/wd/261640
NPL 채권관리 AI플랫폼 오퍼레이터,채권도시,https://www.wanted.co.kr/wd/269179
"AI 콘텐츠 기획, 제작",클레온,https://www.wanted.co.kr/wd/257947
AI/ML Product Engineer,부릉,https://www.wanted.co.kr/wd/257004
AI 아티스트 기획 & 전략,블루개러지(Blue Garage),https://www.wanted.co.kr/wd/255220
전문연구요원_AI 개발자 (병역 특례),와디즈,https://www.wanted.co.kr/wd/263224
AI Data Manager,셀렉트스타,https://www.wanted.co.kr/wd/57391
[AI Lab 제품기획팀] QA 엔지니어,모아데이타,https://www.wanted.co.kr/wd/265761
AI 엔지니어,원라인에이아이,https://www.wanted.co.kr/wd/248985
[3-5년] AI관련 백엔드개발자,텍스트웨이,https://www.wanted.co.kr/wd/266327
AI Researcher,셀렉트스타,https://www.wanted.co.kr/wd/222017
AI Back-End Engineer,타이드풀(TIDEPOOL),https://www.wanted.co.kr/wd/258332
에디AI 광고 플랫폼 영업,에이아이썸,https://www.wanted.co.kr/wd/267920
AI 개발자 (리더급),딥인사이트,https://www.wanted.co.kr/wd/260005
[개발운영] 시니어 AI 개발자,누리미디어(DBpia),https://www.wanted.co.kr/wd/247998
Document AI Researcher,애자일소다,https://www.wanted.co.kr/wd/253469
AI 엔지니어,엔엑스엔랩스,https://www.wanted.co.kr/wd/245623
AI/ML Research Engineer (3년이상),제이앤피메디(JNPMEDI),https://www.wanted.co.kr/wd/245214
AI/솔루션 B2B Marketing,포지큐브(POSICUBE),https://www.wanted.co.kr/wd/254500
[F&B with AI] 풀스택 개발자,블리츠다이나믹스,https://www.wanted.co.kr/wd/240726
Insurance IT Planning Specialist,에이아이에이생명(AIA생명),https://www.wanted.co.kr/wd/252276
[AI반도체] Deep Learning Optimization Engineer,모빌린트,https://www.wanted.co.kr/wd/147525
[AI반도체] NPU Field Application Engineer,모빌린트,https://www.wanted.co.kr/wd/248560
[AI반도체] Windows Driver Engineer,모빌린트,https://www.wanted.co.kr/wd/263454
[Tech] AI실 추천프로덕트팀 데이터엔지니어,우아한형제들(배달의민족),https://www.wanted.co.kr/wd/257605
Solution Engineering Team Lead,베슬에이아이(VESSL AI),https://www.wanted.co.kr/wd/262107
(전문연구요원 가능) ML Engineer/Researcher,에너자이(ENERZAi),https://www.wanted.co.kr/wd/110126
시니어 AI Engineer,이지케어텍,https://www.wanted.co.kr/wd/266678
AI연구소 AI기반연구팀 팀장 (7년 이상),아이스크림아트,https://www.wanted.co.kr/wd/254617
AI Designer,블루밍그레이스,https://www.wanted.co.kr/wd/256426
Clinical Research Associate,에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/258358
[B2B] AI 솔루션 세일즈 매니저,제틱에이아이,https://www.wanted.co.kr/wd/255149
AI Model Production (Document AI),업스테이지,https://www.wanted.co.kr/wd/134824
광고 및 영화(ScreenX 아이돌 다큐멘터리) 편집자,에임 스튜디오(aim studio),https://www.wanted.co.kr/wd/255616
[Global AI Startup] IT Specialist/ IT Support,마크비전코리아,https://www.wanted.co.kr/wd/255461
Senior Frontend Engineer,슈퍼브에이아이(Superb AI),https://www.wanted.co.kr/wd/236825
UX 시니어 GUI 디자이너,라이트브레인(Rightbrain),https://www.wanted.co.kr/wd/230501
병역특례 전문연구요원(AI연구원),모빅랩,https://www.wanted.co.kr/wd/248021
AI Product Planning Manager,모레,https://www.wanted.co.kr/wd/267498
AI 교육 플랫폼 - 웹 프론트엔드 개발자  (재택근무 가능),캐치잇플레이(Catch it english),https://www.wanted.co.kr/wd/252509
"[CHAI CRE.W] 퍼포먼스 마케터 (광고 캠페인, 2년~3년)",차이커뮤니케이션,https://www.wanted.co.kr/wd/269599
AI/LLM Curriculum Developer,업스테이지,https://www.wanted.co.kr/wd/262163
"Corporate Operator(Strategy, Finance, People)",에임(AIM),https://www.wanted.co.kr/wd/50128
[ETL/AI] Data Engineer,디써클,https://www.wanted.co.kr/wd/237885
[AI반도체] NPU Compiler Engineer (전문연구요원 가능),모빌린트,https://www.wanted.co.kr/wd/117659
Search Engineer,티맵모빌리티,https://www.wanted.co.kr/wd/249889
Senior AI Researcher,모빅랩,https://www.wanted.co.kr/wd/205410
[EQST Lab] AI 보안 연구,에스케이쉴더스(SK쉴더스),https://www.wanted.co.kr/wd/267714
